country_name,deaths,confirmed
North Macedonia,6683,191820
Norway,861,189915
Oman,4096,303769
Pakistan,738,34193
Pakistan,349,32943
Pakistan,184,10329
Pakistan,926,105590
Pakistan,5559,174260
Pakistan,12661,432190
Pakistan,7414,458697
Palau,0,5
Panama,7230,467338
Papua New Guinea,234,20455
Paraguay,16198,459967
Peru,1253,31512
Peru,6636,76951
Peru,1501,26050
Peru,9644,114581
Peru,2095,33654
Peru,4111,65567
Peru,9945,100455
Peru,4750,73245
Peru,1152,16131
Peru,2689,35495
Peru,8327,58572
Peru,6984,85720
Peru,10155,87890
Peru,8585,61201
Peru,88365,948038
Peru,4169,45008
Peru,768,13838
Peru,1510,29517
Peru,1041,15752
Peru,11928,87259
Peru,4108,39833
Peru,3052,48538
Peru,1949,29705
Peru,1559,18722
Peru,3091,32071
Peru,56,1978
Philippines,38493,2565487
Poland,75666,2908432
Portugal,17979,1069975
Qatar,606,236735
Romania,37210,1244555
Russia,432,19698
Russia,4224,77932
Russia,362,21584
Russia,446,35623
Russia,1183,89746
Russia,1672,59580
Russia,1637,67331
Russia,1164,54087
Russia,1454,65750
Russia,1851,58961
Russia,598,22676
Russia,3416,96417
Russia,18,1861
Russia,2325,34051
Russia,2517,51989
Russia,322,21577
Russia,4831,109440
Russia,1611,49102
Russia,267,8045
Russia,800,31959
Russia,741,55072
Russia,604,30511
Russia,715,48324
Russia,347,19759
Russia,614,25507
Russia,868,65843
Russia,1301,56876
Russia,799,84294
Russia,1104,38954
Russia,1100,75371
Russia,536,57717
Russia,1787,70371
Russia,779,33806
Russia,6255,74135
Russia,5846,116409
Russia,715,33506
Russia,1457,57846
Russia,2473,69413
Russia,1672,53268
Russia,255,11044
Russia,601,19764
Russia,563,28211
Russia,29044,1637913
Russia,8199,450496
Russia,2084,72660
Russia,45,2307
Russia,6644,170235
Russia,624,23014
Russia,443,44458
Russia,2997,63714
Russia,2174,84829
Russia,1015,46256
Russia,1974,77726
Russia,2730,70843
Russia,4886,102055
Russia,1153,69137
Russia,782,50433
Russia,6832,139123
Russia,1118,42453
Russia,21909,622998
Russia,1210,54328
Russia,304,33056
Russia,3896,105849
Russia,3013,89080
Russia,1735,50220
Russia,3045,86200
Russia,6330,139462
Russia,909,43558
Russia,748,27123
Russia,565,43749
Russia,3031,54752
Russia,1646,66943
Russia,1964,61998
Russia,282,26694
Russia,2051,53454
Russia,2593,83378
Russia,1974,54443
Russia,2809,92424
Russia,1890,68994
Russia,4444,133898
Russia,693,50560
Russia,1209,61726
Russia,1168,69108
Rwanda,1276,97695
Saint Kitts and Nevis,13,1965
Saint Lucia,207,11573
Saint Vincent and the Grenadines,26,3563
Samoa,0,3
San Marino,91,5440
Sao Tome and Principe,51,3504
Saudi Arabia,8716,547134
Senegal,1858,73782
Serbia,8280,949260
Seychelles,112,21507
Sierra Leone,121,6394
Singapore,103,99430
Slovakia,12649,413723
Slovenia,4565,294335
Solomon Islands,0,20
Somalia,1111,19980
South Africa,87705,2904307
South Sudan,130,12021
Spain,11136,802007
Spain,3816,160943
Spain,2066,70893
Spain,959,99330
Spain,7762,510366
Spain,992,95264
Spain,608,46197
Spain,6445,237754
Spain,7312,299381
Spain,15673,917188
Spain,128,7549
Spain,1983,102466
Spain,2635,186537
Spain,823,39480
Spain,16101,890839
Spain,107,11003
Spain,1731,140867
Spain,1246,82553
Spain,4940,260511
Spain,0,0
