country_name,country_code,Year,Renewables (% electricity),Urban population (% of total population),Total water withdrawal per capita,undernourishment_prevalence,Arable land (% of land area),Arable land (hectares per person),Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Deaths - Unsafe water source,Gender wage gap (%),Population,"Health expenditure, total (% of GDP)",Human Development Index - undp_hdi,population below poverty line
Italy,ITA,2017,35.416022,70.144,787.6,3.1,22.901577,0.111276,52.57716,45356.53672,0.021772,0,60461828,9.247918,0.868561,1.418087
Japan,JPN,2017,20.988469,91.535,670.5,3.1,11.415638,0.032819,35.87843,38582.32219,0.10725,0,126476458,10.228744,0.884147,0.727888
Jordan,JOR,2017,7.142872,90.747,162.6,8.7,2.10633,0.019109,39.998171,11399.96555,0.365669,0,10203140,7.452996,0.743114,0.104122
Kazakhstan,KAZ,2017,11.885745,57.336,1312,3.1,10.985332,1.644166,24.365789,19500.47894,0.232434,0,18776707,4.35594,0.765538,0.019417
Kenya,KEN,2017,77.436772,26.562,682.5,23.7,10.190814,0.115489,28.743211,3221.252972,62.701735,0,53771300,5.720291,0.528785,35.1092
Kiribati,KIR,2017,16.211415,53.262,682.5,2.8,2.469136,0.01752,86.25968,2097.088492,52.497262,0,119446,10.21295,0.58802,11.16539
Kuwait,KWT,2017,0.097916,100,447.2,3.1,0.482604,0.00212,30.531147,75580.93375,0.117381,0,4270563,3.042368,0.808707,12.73759541
Kyrgyzstan,KGZ,2017,91.941983,36.135,2005,6.4,6.714286,0.20777,31.613196,3857.653909,1.077543,0,6524191,6.483762,0.633801,1.082618
Laos,LAO,2017,65.99034,34.368,682.5,3.1,6.932409,0.230115,18.736725,4052.83832,24.771748,0,7275556,1.865546,0.539318,10.71972
Latvia,LVA,2017,72.521085,68.075,110.6,3.1,20.769602,0.664179,36.051982,25294.38873,0.061575,0,1886202,5.880694,0.810715,0.752054
Lebanon,LBN,2017,2.29146,88.429,406.8,6.2,12.903226,0.019357,47.58111,15605.5638,0.83126,0,6825442,6.393709,0.755828,0
Lesotho,LSO,2017,100,27.73,23.24,37.9,13.636364,0.197941,54.612612,2148.825439,75.300764,0,2142252,10.617677,0.471583,27.19775
Liberia,LBR,2017,0.797872,50.697,42.59,38.4,5.19103,0.106333,15.92993,1333.422223,73.137204,0,5057677,10.036333,0.404815,44.54531
Libya,LBY,2017,0.025571,79.817,784,3.1,0.977528,0.261369,35.46315,21857.13203,0.810241,0,6871287,4.968935,0.756259,12.73759541
Lithuania,LTU,2017,75.576678,67.516,806.3,3.1,33.583436,0.743777,35.513404,25835.36802,0.092226,0,2722291,6.552117,0.826808,1.022507
Madagascar,MDG,2017,37.462789,36.522,798.9,41.2,5.156411,0.117323,19.803974,1639.882778,96.054285,0,27691019,3.041355,0.504318,77.81183
Malawi,MWI,2017,91.758406,16.714,112.4,18.6,38.184132,0.203733,41.469453,1181.077496,58.524086,0,19129955,11.377956,0.419853,68.69707
Malaysia,MYS,2017,17.684409,75.447,381.3,3.2,2.514077,0.026556,29.112157,19546.98592,1.625834,0,32365998,4.169078,0.769498,0.009133
Maldives,MDV,2017,0.413565,39.38,682.5,3.1,13,0.007857,43.183156,16330.79978,0.988636,0,540542,13.73352,0.682715,0
Mali,MLI,2017,47.633822,41.572,682.5,5.2,5.2541,0.346308,24.903622,1985.623428,92.304656,0,20250834,6.862166,0.409257,44.57956
Mauritania,MRT,2017,34.27374,52.824,554.9,11.7,0.388086,0.093402,31.462581,5080.645869,45.532922,0,4649660,3.772699,0.48768,5.769266
Mauritius,MUS,2017,20.97516,40.841,507.5,5.5,36.945813,0.059307,26.827827,14909.17086,0.408083,0,1271767,4.809545,0.755715,0.209929
Mexico,MEX,2017,16.56587,79.867,687.6,6.7,12.297127,0.191581,25.1036,18462.84012,1.56979,0,128932753,6.296421,0.745597,1.927988
Moldova,MDA,2017,6.704932,42.557,682.5,3.1,52.842809,0.630817,43.141091,7845.669401,0.235167,0,4033963,10.323656,0.672168,0.061244
Mongolia,MNG,2017,7.314287,68.363,682.5,18.8,0.849385,0.424791,35.674851,6858.33057,0.613883,0,3278292,4.730342,0.695293,0.519974
Montenegro,MNE,2017,46.460473,66.477,682.5,3.1,0.684015,0.014782,43.908002,16248.33593,0.053823,0,628062,6.416543,0.791904,2.408952
Morocco,MAR,2017,15.506538,61.908,501.8,4,16.754649,0.210156,33.176324,5687.227352,2.459613,0,36910558,5.907778,0.610832,0.702508
Mozambique,MOZ,2017,83.54149,35.455,45.7,32.9,7.184822,0.197215,28.762057,917.79524,58.128839,0,31255435,6.975582,0.401094,62.2124
Namibia,NAM,2017,96.285119,49.005,147.1,13.3,0.971711,0.332969,26.429697,8735.713736,35.57429,0,2540916,8.928688,0.610337,14.77404
Nepal,NPL,2017,100,19.336,390,6,14.74503,0.076493,15.806926,2380.970834,52.707169,0,29136808,5.797226,0.530779,5.967394
Netherlands,NLD,2017,14.885552,91.077,554.5,3.1,30.798931,0.060532,47.4709,52909.96976,0.022105,0,17134873,10.897293,0.909236,0.188766
NewZealand,NZL,2017,81.857268,86.466,792.5,3.1,1.864722,0.102003,32.38942,38687.84615,0.140637,0,4822233,11.02961,0.904931,12.73759541
Nicaragua,NIC,2017,57.457066,58.299,268.4,17.1,12.497923,0.235558,33.61853,4600.536063,2.339226,0,6624554,9.040139,0.618729,2.151676
Niger,NER,2017,1.153447,16.35,682.5,3.1,13.973316,0.819354,23.740164,974.682178,93.743729,0,24206636,5.821299,0.325668,42.67889
Nigeria,NGA,2017,23.557474,49.519,79.77,11.9,37.33105,0.178129,26.320039,4288.270307,61.888619,0,206139587,3.668798,0.492838,41.36097
NorthMacedonia,MKD,2017,23.143054,57.748,312.1,3.1,16.534496,0.200289,32.413837,12379.3707,0.138905,0,2083380,6.476375,0.738019,4.555062
Norway,NOR,2017,98.257358,81.871,528.8,3.1,2.195124,0.151885,42.44458,64062.43691,0.061624,0,5421242,9.719718,0.939844,0.251494
Oman,OMN,2017,0.011778,83.56,585.4,8.2,0.22391,0.014852,35.897213,33192.27458,0.666791,0,5106622,3.55394,0.794936,12.73759541
Pakistan,PAK,2017,26.88301,36.442,1196,12,40.486198,0.150116,25.00634,3931.175785,38.990081,0,220892331,2.613916,0.521613,4.017113
Panama,PAN,2017,72.823811,67.365,682.5,7.3,7.622774,0.137578,26.76639,19125.62869,2.641848,0,4314768,8.025724,0.761035,2.52311
NewGuinea,PNG,2017,21.500787,13.102,48.01,3.1,0.662456,0.035553,30.287862,3119.175569,61.013849,0,8947027,4.263571,0.493333,26.99415
Paraguay,PRY,2017,99.996855,61.3,88.95,8.7,11.711553,0.677583,20.441757,9193.839912,1.82854,0,7132530,9.814421,0.668207,0.887627
Peru,PER,2017,59.864425,77.72,682.5,7,2.725,0.110926,19.48441,8629.264533,2.173948,0,32971845,5.473035,0.717597,3.423332
Philippines,PHL,2017,25.657168,46.682,682.5,14.9,18.747694,0.053151,20.68863,5474.681327,6.522217,0,109581085,4.709985,0.654394,5.61305
